epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.660853385925293,1.1751797199249268,0.001,0.9072239398956299,0.3116176128387451
1,0.8726659417152405,0.41210415959358215,0.001,0.9203302264213562,0.2712736427783966
2,0.9062666893005371,0.30003780126571655,0.001,0.9566563367843628,0.14984311163425446
3,0.9207766652107239,0.25113028287887573,0.001,0.9282765984535217,0.2631833553314209
4,0.9326822757720947,0.2143924981355667,0.001,0.9397316575050354,0.23278166353702545
5,0.9402511119842529,0.19250112771987915,0.001,0.9625387191772461,0.1296176314353943
6,0.9448785185813904,0.17976360023021698,0.001,0.9566563367843628,0.15944011509418488
7,0.9496802687644958,0.16460992395877838,0.001,0.9718266129493713,0.09821562469005585
8,0.9530868530273438,0.15039095282554626,0.001,0.956037163734436,0.16600565612316132
9,0.9555168151855469,0.14384405314922333,0.001,0.9578947424888611,0.1571667492389679
10,0.9566097259521484,0.1378469169139862,0.001,0.9553147554397583,0.16500796377658844
11,0.9603999257087708,0.12630262970924377,0.001,0.973374605178833,0.10148720443248749
12,0.9616904854774475,0.12159034609794617,0.001,0.9711042046546936,0.10794997960329056
13,0.9633298516273499,0.11664629727602005,0.001,0.9678018689155579,0.11930782347917557
14,0.9651435613632202,0.11277548223733902,0.001,0.9689370393753052,0.12206695228815079
15,0.974189043045044,0.08233124017715454,0.000100000005,0.9773994088172913,0.08362333476543427
16,0.9767934083938599,0.0730910450220108,0.000100000005,0.9743034243583679,0.09965367615222931
17,0.9771422147750854,0.0729227364063263,0.000100000005,0.9758514165878296,0.08683454990386963
18,0.9784327149391174,0.06813473999500275,0.000100000005,0.9782249927520752,0.0787021815776825
19,0.9778863191604614,0.06948605179786682,0.000100000005,0.980804979801178,0.0730660930275917
20,0.9796767830848694,0.06393817812204361,0.000100000005,0.9804953336715698,0.07219665497541428
21,0.9797000288963318,0.06150015443563461,0.000100000005,0.9770897626876831,0.08444374054670334
22,0.9798163175582886,0.06292048841714859,0.000100000005,0.9772961735725403,0.08047427237033844
23,0.9806069135665894,0.06199171766638756,0.000100000005,0.9769865870475769,0.08609815686941147
24,0.980269730091095,0.060984887182712555,0.000100000005,0.9802889823913574,0.07065513730049133
25,0.9810370802879333,0.059285979717969894,0.000100000005,0.978018581867218,0.07658671587705612
26,0.980455756187439,0.05945441126823425,0.000100000005,0.9765737652778625,0.08503225445747375
27,0.9808626770973206,0.05838179960846901,0.000100000005,0.978018581867218,0.07803979516029358
28,0.9810370802879333,0.05825087055563927,0.000100000005,0.9815273284912109,0.06869280338287354
29,0.9813393950462341,0.05874871462583542,0.000100000005,0.9762641787528992,0.09053266048431396
30,0.9819323420524597,0.05690225213766098,0.000100000005,0.9771929979324341,0.08241371065378189
31,0.9822113513946533,0.05555490404367447,0.000100000005,0.978844165802002,0.0756746307015419
32,0.9818742275238037,0.056021545082330704,0.000100000005,0.9795665740966797,0.07395800203084946
33,0.9820834994316101,0.05509314686059952,0.000100000005,0.9795665740966797,0.07402274012565613
34,0.9823160171508789,0.05415165796875954,0.000100000005,0.9770897626876831,0.08451991528272629
35,0.9820485711097717,0.05459661781787872,0.000100000005,0.9790505766868591,0.07438376545906067
36,0.9827694296836853,0.05410055071115494,1.0000001e-05,0.9791537523269653,0.07362300902605057
37,0.9830833673477173,0.051785483956336975,1.0000001e-05,0.9800825715065002,0.07192579656839371
